ID,TEMA,QUESTAO,RESPOSTA,LINKS,PESO
1,Communication,Explain to me a technical concept related to the role that you’re interviewing for.,,https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,1
2,Communication,Introduce me to something you’re passionate about.,,https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,2
3,Communication,How would you explain an A/B test to an engineer with no statistics background? A linear regression?,"  - A/B testing, or more broadly, multivariate testing, is the testing of different elements of a user's experience to determine which variation helps the business achieve its goal more effectively (i.e. increasing conversions, etc..)  This can be copy on a web site, button colors, different user interfaces, different email subject lines, calls to action, offers, etc. ",https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,3
4,Communication,How would you explain a confidence interval to an engineer with no statistics background? What does 95% confidence mean?, - [link](https://www.quora.com/What-is-a-confidence-interval-in-laymans-terms),https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,1
5,Communication,How would you explain to a group of senior executives why data is important?,,https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,1
6,data_science_easy,What do you understand by the term Normal Distribution?,Normal Distribution is also known as Gaussian Distribution. It is a type of probability distribution that is symmetric about the mean. it shows that the data is closer to the mean and the frequency of occurrences in data are far from the mean.,https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,1
7,data_science_easy,How will you explain linear regression to a non-tech person?,"Linear Regression is a statistical technique of measuring the linear relationship between the two variables. By linear relationship, we mean that an increase in a variable would lead to increase in the other variable and a decrease in one variable would lead to attenuation in the second variable as well. Based on this linear relationship, we establish a model that predicts the future outcomes based on an increase in one variable.",https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,1
8,data_science_easy,How will you handle missing values in data?,"There are several ways to handle missing values in the given data-Dropping the values, Deleting the observation (not always recommended).Replacing value with the mean, median and mode of the observation.Predicting value with regression. Finding appropriate value with clustering.",https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,1
9,data_science_easy,How will you verify if the items present in list A are present in series B?,"We will use the isin() function. For this, we create two series s1 and s2 – s1 = pd.Series([1, 2, 3, 4, 5]), s2 = pd.Series([4, 5, 6, 7, 8]), s1[s1.isin(s2)]",https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,2
10,data_science_easy,How to find the positions of numbers that are multiples of 4 from a series?,"For finding the multples of 4, we will use the argwhere() function. First, we will create a list of 10 numbers –s1 = pd.Series([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]), np.argwhere(ser % 4==0), Output > [3], [7]",https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,1
11,data_science_easy,How are KNN and K-means clustering different?,"Firstly, KNN is a supervised learning algorithm. In order to train this algorithm, we require labeled data. K-means is an unsupervised learning algorithm that looks for patterns that are intrinsic to the data. The K in KNN is the number of nearest data points. On the contrary, the K in K-means specify the number of centroids. Read our latest article on K-means clustering and learn everything about it. ",https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,2
12,data_science_easy,"Can you stack two series horizontally? If so, how?","Yes, we can stack the two series horizontally using concat() function and setting axis = 1. df = pd.concat([s1, s2], axis=1) ",https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,3
13,data_science_easy,How can you convert date-strings to timeseries in a series?,"Input: s = pd.Series(['02 Feb 2011', '02-02-2013', '20160104', '2011/01/04', '2014-12-05', '2010-06-06T12:05]). To solve this, we will use the to_datetime() function. pd.to_datetime(s)",https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,1
14,data_science_easy,Python or R – Which one would you prefer for text analytics?,"Both Python and R provide robust functionalities for working with text data. R provides extensive text analytics libraries but its data mining libraries are still in a nascent stage. Python is best suited for enterprise level and for increasing software productivity. For handling unstructured data, R provides a vast variety of support packages. Python is best apt at handling colossal data while R has memory constraints and is slower in response to large data. Therefore, the preference for using Python or R depends on the area of functionality and usage.Revise Python vs R to frame the answer of this data science interview question",https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,1
15,data_science_easy,Explain ROC curve.,"Receiver Operating Characteristic is a measurement of the True Positive Rate (TPR) against False Positive Rate (FPR). We calculate True Positive (TP) as TPR = TP/ (TP + FN). On the contrary, false positive rate is determined as FPR = FP/FP+TN where where TP = true positive, TN = true negative, FP = false positive, FN = false negative.",https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,1
16,data_science_easy,How is AUC different from ROC?,AUC curve is a measurement of precision against the recall. Precision = TP/(TP + FP) and TP/(TP + FN). This is in contrast with ROC that measures and plots True Positive against False positive rate.,https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,1
17,data_science_easy,Why is Naive Bayes referred to as Naive?,"Ans. In Naive Bayes, the assumptions and probabilities that are computed of the features are independent of each other. It is the assumption of feature independence that makes Naive Bayes, “Naive”.",https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,1
18,data_science_easy,How will you create a series from a given list in Pandas?,We will the list to the Series() function. ser1 = pd.Series(mylist),https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,2
19,data_science_easy,"Explain bias, variance tradeoff.","Bias leads to a phenomenon called underfitting. This is caused by the introduction of error due to the oversimplification of the model. On the contrary, variance occurs due to complexity in the machine learning algorithm. In variance, the model also learns noise and other distortions that affect the overall performance of it. If you increase the complexity of your model, then the error will go down due to reduction in bias. However, after a certain point, the error will increase due to increasing complexity and addition of noise. This is known as bias-variance tradeoff. A good machine learning algorithm should possess low bias and low variance.",https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,1
20,data_science_easy,What is a confusion matrix?,"A confusion matrix is a table that delineates the performance of a supervised learning algorithm. It provides a summary of prediction results on a classification problem. With the help of confusion matrix, you can not only find the errors made by the predictor but also the type of errors.Data Science Interview Questions - Type I and II Errors",https://img.olhardigital.com.br/wp-content/uploads/2018/09/20180903133856-860x450.jpg,2
